Time,Current
23:18:05.611,25.43
23:18:05.682,60.30
23:18:05.744,64.65
23:18:05.816,58.50
23:18:05.877,50.70
23:18:05.939,50.03
23:18:06.011,56.48
23:18:06.072,65.85
23:18:06.134,57.90
23:18:06.206,111.90
23:18:06.268,50.03
23:18:06.340,56.10
23:18:06.402,31.73
23:18:06.463,11.40
23:18:06.535,10.88
23:18:06.596,11.33
23:18:06.667,11.03
23:18:06.728,9.83
23:18:06.789,9.60
23:18:06.859,9.53
23:18:06.920,9.38
23:18:06.991,9.38
23:18:07.052,9.38
23:18:07.122,9.38
23:18:07.183,9.38
23:18:07.254,9.38
23:18:07.314,16.88
23:18:07.385,17.10
23:18:07.446,20.78
23:18:07.508,27.83
23:18:07.579,27.98
23:18:07.640,27.90
23:18:07.711,17.78
23:18:07.772,19.13
23:18:07.843,26.78
23:18:07.904,18.08
23:18:07.966,20.18
23:18:08.037,24.68
23:18:08.098,28.80
23:18:08.170,11.03
23:18:08.231,11.33
23:18:08.302,21.38
23:18:08.363,24.60
23:18:08.424,9.23
23:18:08.495,9.23
23:18:08.555,18.38
23:18:08.627,16.73
23:18:08.688,9.53
23:18:08.759,9.53
23:18:08.819,18.60
23:18:08.890,16.88
23:18:08.952,9.60
23:18:09.012,9.53
23:18:09.084,22.58
23:18:09.144,13.13
23:18:09.215,9.60
23:18:09.276,10.28
23:18:09.347,25.28
23:18:09.408,16.88
23:18:09.480,9.08
23:18:09.540,18.53
23:18:09.601,16.20
23:18:09.673,9.53
23:18:09.733,9.53
23:18:09.804,18.83
23:18:09.865,16.20
23:18:09.936,9.53
23:18:09.997,9.38
23:18:10.068,18.83
23:18:10.129,16.28
23:18:10.190,9.60
23:18:10.261,9.53
23:18:10.321,18.98
23:18:10.393,16.80
23:18:10.454,16.73
23:18:10.525,9.23
23:18:10.586,25.20
23:18:10.657,9.38
23:18:10.717,9.38
23:18:10.778,13.73
23:18:10.849,21.30
23:18:10.910,9.60
23:18:10.981,9.53
23:18:11.042,18.68
23:18:11.113,16.58
23:18:11.174,9.68
23:18:11.245,9.53
23:18:11.305,19.73
23:18:11.376,16.13
23:18:11.438,9.53
23:18:11.498,32.33
23:18:11.570,21.60
23:18:11.631,11.40
23:18:11.703,4.73
23:18:11.763,4.80
23:18:11.834,10.80
23:18:11.895,4.80
23:18:11.956,4.80
23:18:12.026,11.03
23:18:12.088,4.80
23:18:12.158,4.80
23:18:12.219,11.03
23:18:12.290,4.80
23:18:12.351,4.80
23:18:12.422,11.03
23:18:12.483,4.80
23:18:12.554,4.80
23:18:12.614,10.80
23:18:12.683,4.80
23:18:12.745,4.80
23:18:12.806,10.80
23:18:12.877,4.80
23:18:12.938,4.80
23:18:13.009,10.73
23:18:13.070,4.80
23:18:13.141,4.80
23:18:13.201,11.03
23:18:13.273,4.80
23:18:13.333,4.80
23:18:13.394,11.10
23:18:13.465,4.80
23:18:13.526,4.80
23:18:13.596,10.88
23:18:13.658,4.80
23:18:13.729,4.80
23:18:13.789,10.88
23:18:13.861,4.80
23:18:13.921,4.80
23:18:13.992,11.03
23:18:14.053,4.80
23:18:14.114,4.80
23:18:14.184,10.50
23:18:14.245,5.33
23:18:14.316,4.80
23:18:14.376,6.68
23:18:14.447,9.08
23:18:14.508,4.80
23:18:14.579,4.88
23:18:14.639,10.88
23:18:14.710,4.80
23:18:14.771,4.80
23:18:14.842,10.73
23:18:14.903,4.80
23:18:14.964,4.80
23:18:15.034,10.80
23:18:15.095,4.80
23:18:15.166,4.80
23:18:15.227,11.03
23:18:15.298,4.80
23:18:15.359,4.80
23:18:15.429,11.03
23:18:15.491,4.80
23:18:15.561,4.80
23:18:15.622,10.88
23:18:15.683,4.80
23:18:15.754,4.80
23:18:15.815,11.03
23:18:15.885,4.80
23:18:15.946,4.80
23:18:16.017,11.03
23:18:16.078,4.80
23:18:16.149,4.80
23:18:16.210,10.88
23:18:16.281,4.80
23:18:16.341,10.43
23:18:16.402,15.30
23:18:16.474,9.53
23:18:16.534,9.38
23:18:16.605,15.53
23:18:16.666,9.38
23:18:16.737,9.38
23:18:16.798,15.30
23:18:16.869,9.38
23:18:16.930,9.38
23:18:17.000,15.30
23:18:17.061,9.38
23:18:17.122,9.53
23:18:17.193,15.23
23:18:17.254,9.53
23:18:17.325,9.38
23:18:17.385,23.33
23:18:17.456,9.23
23:18:17.517,9.23
23:18:17.587,15.30
23:18:17.649,9.60
23:18:17.720,9.30
23:18:17.780,11.93
23:18:17.841,12.98
23:18:17.913,9.38
23:18:17.973,9.60
23:18:18.044,15.30
23:18:18.105,9.53
23:18:18.176,9.38
23:18:18.236,15.60
23:18:18.307,9.38
23:18:18.368,11.63
23:18:18.439,18.90
23:18:18.502,9.08
23:18:18.561,9.23
23:18:18.632,15.30
23:18:18.693,9.30
23:18:18.764,9.38
23:18:18.824,15.83
23:18:18.896,9.38
23:18:18.956,9.38
23:18:19.027,15.53
23:18:19.088,9.38
23:18:19.159,9.30
23:18:19.220,15.30
23:18:19.281,9.38
23:18:19.351,9.38
23:18:19.412,20.40
23:18:19.483,11.93
23:18:19.544,9.23
23:18:19.615,15.68
23:18:19.676,9.30
23:18:19.747,9.38
23:18:19.808,15.68
23:18:19.869,9.38
23:18:19.940,9.38
23:18:20.000,15.53
23:18:20.071,9.53
23:18:20.132,9.38
23:18:20.203,15.53
23:18:20.264,9.53
23:18:20.335,9.38
23:18:20.395,15.60
23:18:20.466,16.80
23:18:20.528,9.30
23:18:20.588,15.53
23:18:20.660,9.38
23:18:20.720,9.30
23:18:20.791,15.60
23:18:20.852,9.60
23:18:20.923,9.38
23:18:20.983,15.68
23:18:21.054,9.60
23:18:21.115,9.53
23:18:21.186,12.68
23:18:21.247,12.23
23:18:21.308,9.53
23:18:21.379,9.90
23:18:21.439,15.38
23:18:21.511,20.48
23:18:21.572,27.38
23:18:21.643,11.40
23:18:21.705,4.73
23:18:21.775,4.73
23:18:21.836,17.17
23:18:21.897,4.80
23:18:21.968,4.73
23:18:22.028,8.63
23:18:22.099,7.20
23:18:22.159,4.73
23:18:22.230,5.48
23:18:22.291,10.20
23:18:22.362,4.73
23:18:22.423,4.73
23:18:22.493,10.88
23:18:22.554,4.73
23:18:22.625,4.73
23:18:22.686,11.03
23:18:22.747,4.73
23:18:22.818,4.73
23:18:22.878,11.03
23:18:22.950,4.73
23:18:23.010,4.73
23:18:23.081,11.03
23:18:23.142,4.73
23:18:23.213,4.73
23:18:23.273,10.73
23:18:23.345,4.73
23:18:23.405,4.73
23:18:23.466,10.73
23:18:23.537,4.80
23:18:23.598,4.73
23:18:23.669,10.73
23:18:23.730,4.80
23:18:23.800,4.73
23:18:23.861,10.88
23:18:23.932,4.73
23:18:23.993,4.80
23:18:24.064,11.03
23:18:24.125,4.73
23:18:24.185,4.73
23:18:24.256,10.88
23:18:24.317,4.80
23:18:24.388,4.73
23:18:24.448,11.03
23:18:24.520,4.73
23:18:24.580,4.73
23:18:24.651,11.10
23:18:24.712,4.73
23:18:24.783,4.73
23:18:24.844,11.10
23:18:24.905,4.73
23:18:24.976,4.73
23:18:25.036,11.10
23:18:25.107,4.73
23:18:25.168,4.73
23:18:25.239,10.88
23:18:25.300,4.80
23:18:25.371,4.73
23:18:25.431,8.78
23:18:25.502,6.53
23:18:25.563,4.73
23:18:25.633,5.63
23:18:25.694,9.83
23:18:25.765,4.73
23:18:25.825,4.73
23:18:25.886,10.73
23:18:25.957,4.73
23:18:26.018,4.73
23:18:26.089,11.03
23:18:26.150,4.73
23:18:26.220,4.73
23:18:26.281,10.88
23:18:26.352,8.70
23:18:26.413,9.30
23:18:26.484,15.53
23:18:26.545,9.30
23:18:26.605,9.30
23:18:26.676,15.38
23:18:26.737,9.38
23:18:26.808,9.30
23:18:26.869,15.60
23:18:26.940,9.38
23:18:27.001,9.30
23:18:27.071,15.83
23:18:27.132,9.38
23:18:27.203,9.30
23:18:27.264,15.53
23:18:27.325,9.38
23:18:27.395,16.88
23:18:27.457,14.93
23:18:27.528,9.23
23:18:27.588,9.23
23:18:27.659,15.23
23:18:27.720,9.38
23:18:27.791,9.30
23:18:27.852,15.23
23:18:27.923,9.38
23:18:27.984,9.30
23:18:28.044,15.60
23:18:28.115,9.38
23:18:28.176,9.30
23:18:28.247,15.38
23:18:28.308,9.38
23:18:28.379,9.30
23:18:28.439,22.88
23:18:28.510,9.08
23:18:28.571,9.23
23:18:28.642,15.30
23:18:28.703,9.38
23:18:28.763,9.30
23:18:28.834,14.93
23:18:28.895,9.90
23:18:28.966,9.30
23:18:29.027,11.10
23:18:29.098,13.73
23:18:29.159,9.30
23:18:29.230,9.38
23:18:29.290,15.38
23:18:29.362,9.38
23:18:29.422,9.30
23:18:29.483,22.50
23:18:29.554,9.08
23:18:29.615,9.08
23:18:29.686,15.00
23:18:29.747,9.30
23:18:29.817,9.30
23:18:29.878,15.23
23:18:29.950,9.30
23:18:30.010,9.30
23:18:30.081,15.23
23:18:30.142,9.38
23:18:30.203,9.30
23:18:30.273,15.60
23:18:30.334,9.38
23:18:30.405,9.30
23:18:30.466,15.38
23:18:30.537,16.80
23:18:30.598,9.08
23:18:30.669,15.30
23:18:30.730,9.23
23:18:30.800,9.23
23:18:30.861,15.60
23:18:30.922,9.38
23:18:30.993,9.38
23:18:31.054,15.60
23:18:31.125,9.38
23:18:31.186,9.38
23:18:31.257,15.53
23:18:31.317,9.38
23:18:31.388,9.30
23:18:31.449,15.53
23:18:31.520,9.83
23:18:31.581,42.00
23:18:31.642,9.53
23:18:31.713,4.58
23:18:31.774,4.73
23:18:31.844,16.80
23:18:31.905,4.73
23:18:31.977,4.73
23:18:32.037,10.57
23:18:32.108,4.73
23:18:32.169,4.73
23:18:32.240,10.50
23:18:32.301,4.80
23:18:32.361,4.73
23:18:32.432,7.50
23:18:32.493,8.10
23:18:32.563,4.73
23:18:32.624,5.03
23:18:32.695,10.73
23:18:32.756,4.73
23:18:32.827,4.73
23:18:32.887,10.80
23:18:32.959,4.73
23:18:33.019,4.73
23:18:33.090,10.88
23:18:33.151,4.73
23:18:33.212,4.73
23:18:33.282,10.80
23:18:33.343,4.73
23:18:33.414,4.73
23:18:33.475,10.88
23:18:33.546,4.73
23:18:33.607,4.73
23:18:33.677,10.88
23:18:33.739,4.73
23:18:33.809,4.73
23:18:33.870,10.57
23:18:33.931,4.73
23:18:34.002,4.73
23:18:34.063,10.57
23:18:34.134,4.73
23:18:34.194,4.73
23:18:34.265,10.73
23:18:34.326,4.73
23:18:34.397,4.73
23:18:34.458,10.88
23:18:34.529,4.73
23:18:34.589,4.73
23:18:34.650,11.03
23:18:34.721,4.73
23:18:34.782,4.73
23:18:34.853,11.03
23:18:34.914,4.73
23:18:34.984,4.73
23:18:35.045,10.88
23:18:35.116,4.73
23:18:35.177,4.73
23:18:35.247,10.88
23:18:35.309,4.73
23:18:35.369,4.73
23:18:35.440,10.80
23:18:35.501,4.73
23:18:35.572,4.73
23:18:35.632,10.88
23:18:35.704,4.73
23:18:35.765,4.73
23:18:35.835,8.10
23:18:35.896,7.50
23:18:35.967,4.73
23:18:36.027,5.03
23:18:36.098,10.43
23:18:36.159,4.73
23:18:36.220,4.73
23:18:36.290,10.73
23:18:36.352,6.90
23:18:36.422,9.23
23:18:36.483,15.08
23:18:36.554,9.30
23:18:36.615,9.30
23:18:36.685,15.60
23:18:36.747,9.30
